Name,Position,Goals,Assists,Shots,Shots on target,Shooting accuracy %,Big chances created,Big chances missed,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored
Dieudonne Mbokani Bezua ,Forward,7,1,37.0,20.0,54%,1.0,6.0,1.0,5.0,1.0,0.0,0.0
Conor McAleny ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksandar Mitrovic ,Forward,9,4,79.0,30.0,38%,1.0,8.0,4.0,4.0,1.0,2.0,0.0
Mohamed Salah ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlton Morris ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glenn Murray ,Forward,3,0,25.0,14.0,56%,2.0,4.0,2.0,1.0,0.0,0.0,0.0
Dame N'Doye ,Forward,1,0,9.0,4.0,44%,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Clinton N'Jie ,Forward,0,1,6.0,2.0,33%,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Adil Nabi ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Naismith ,Forward,4,1,25.0,9.0,36%,3.0,3.0,1.0,2.0,1.0,0.0,0.0
Nathan ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oumar Niasse ,Forward,0,0,2.0,1.0,50%,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nordin Amrabat ,Forward,0,0,7.0,3.0,43%,1.0,1.0,0.0,0.0,0.0,0.0,0.0
David Nugent ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peter Odemwingie ,Forward,0,0,2.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shinji Okazaki ,Forward,5,0,46.0,12.0,26%,2.0,7.0,1.0,3.0,1.0,0.0,0.0
Olufela Olomola ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Divock Origi ,Forward,5,1,24.0,12.0,50%,0.0,3.0,2.0,3.0,0.0,0.0,0.0
Obbi Oularé ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberto Paloschi ,Forward,2,0,15.0,7.0,47%,1.0,3.0,0.0,2.0,0.0,0.0,0.0
Harry Panayiotou ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djair Parfitt-Williams ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pedro ,Forward,7,2,57.0,16.0,28%,5.0,4.0,0.0,2.0,5.0,0.0,0.0
Graziano Pellè ,Forward,11,6,81.0,25.0,31%,6.0,4.0,5.0,5.0,1.0,0.0,0.0
Adalberto Peñaranda ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ayoze Pérez ,Forward,6,2,50.0,16.0,32%,4.0,3.0,0.0,5.0,1.0,0.0,0.0
Stipe Perica ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathias Ranégie ,Forward,0,0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tokelo Rantie ,Forward,0,0,1.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Rashford ,Forward,5,2,16.0,8.0,50%,1.0,3.0,1.0,4.0,0.0,0.0,0.0
Loïc Rémy ,Forward,1,0,13.0,5.0,38%,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Emmanuel Rivière ,Forward,0,0,3.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roberto Firmino ,Forward,10,7,63.0,25.0,40%,9.0,6.0,1.0,6.0,3.0,0.0,0.0
Jay Rodriguez ,Forward,0,0,17.0,6.0,35%,0.0,2.0,0.0,0.0,0.0,0.0,0.0
