Team,Average Shots per Match,Average Goals per Match,Average Fouls per Match,Average Cards per Match,Shot Accuracy
Arsenal,10.468239564428313,1.779491833030853,8.20961887477314,1.2250453720508168,0.4882108183079057
Coventry,1.2467948717948718,1.0737179487179487,1.6955128205128205,0.2564102564102564,0.455012853470437
Aston Villa,7.962588473205257,1.211324570273003,8.941354903943378,1.256825075834176,0.4599365079365079
QPR,6.322033898305085,1.1694915254237288,5.169491525423729,0.8728813559322034,0.44235924932975873
Chelsea,11.235934664246823,1.7332123411978222,8.339382940108893,1.234119782214156,0.45816507833952513
Blackburn,7.102446483180428,1.3134556574923548,8.767584097859327,1.22782874617737,0.5145317545748116
Liverpool,11.43608340888486,1.7624660018132365,8.028105167724387,1.0181323662737987,0.45742825432059614
Man City,12.558598028477547,1.7250821467688937,9.653888280394305,1.3997809419496166,0.452468166753881
Leeds,5.383064516129032,1.3790322580645162,6.225806451612903,0.9153225806451613,0.44569288389513106
Newcastle,8.487828627069133,1.3310613437195715,8.59396299902629,1.237585199610516,0.45589078811517725
Tottenham,10.1441523118767,1.5158658204895739,8.41613780598368,1.198549410698096,0.4726070247564572
Ipswich,5.58125,1.05625,5.375,0.46875,0.46472564389697646
Sheffield United,6.92948717948718,0.8525641025641025,8.487179487179487,1.3397435897435896,0.38482886216466233
Southampton,8.254480286738351,1.2162485065710873,7.995221027479092,1.003584229390681,0.4013605442176871
Everton,8.899274047186934,1.295825771324864,9.033575317604356,1.2232304900181488,0.4592637911695728
West Ham,8.373737373737374,1.2383838383838384,8.188888888888888,1.2686868686868686,0.4296743063932449
Norwich,8.183673469387756,1.0204081632653061,8.157434402332362,1.183673469387755,0.40399002493765584
Man United,10.889392565729828,1.912964641885766,8.43155031731641,1.2184950135992747,0.48513862292898174
Crystal Palace,9.086092715231787,1.086092715231788,9.635761589403973,1.3818984547461368,0.34402332361516036
Leicester,7.807628524046435,1.3316749585406302,7.643449419568823,1.0696517412935322,0.3887000849617672
Bolton,9.696356275303645,1.1639676113360324,10.894736842105264,1.5384615384615385,0.5336116910229645
Middlesbrough,7.392857142857143,1.1165413533834587,9.167293233082706,1.218045112781955,0.49707602339181284
Derby,3.511278195488722,1.018796992481203,5.853383458646617,0.8157894736842105,0.49464668094218417
Sunderland,9.358552631578947,1.006578947368421,10.75328947368421,1.6792763157894737,0.45957820738137084
Charlton,8.299342105263158,1.125,10.799342105263158,1.180921052631579,0.5247720967102656
Bradford,4.881578947368421,0.8947368421052632,6.802631578947368,0.7631578947368421,0.46900269541778977
Watford,9.542087542087542,1.026936026936027,11.01010101010101,1.6666666666666667,0.34086097388849684
Fulham,10.721052631578948,1.1070175438596492,11.728070175438596,1.5473684210526315,0.48748159057437407
West Brom,10.854251012145749,1.0323886639676114,11.431174089068826,1.6275303643724697,0.433047370384185
Birmingham,9.131578947368421,1.0263157894736843,12.484962406015038,1.7255639097744362,0.5170852202552491
Wolves,11.033557046979865,1.0838926174496644,11.070469798657719,1.7080536912751678,0.4251824817518248
Portsmouth,11.488721804511279,1.0977443609022557,12.958646616541353,1.6203007518796992,0.5287958115183246
Wigan,11.802631578947368,1.0394736842105263,12.138157894736842,1.792763157894737,0.5197881828316611
Reading,9.412280701754385,1.1929824561403508,10.675438596491228,1.3596491228070176,0.5032618825722274
Stoke,10.213157894736842,1.0473684210526315,11.760526315789473,1.8894736842105264,0.38649832517392424
Hull,10.536842105263158,0.9526315789473684,12.25263157894737,1.8631578947368421,0.3901098901098901
Burnley,10.277027027027026,0.9831081081081081,10.412162162162161,1.6993243243243243,0.351413543721236
Blackpool,11.736842105263158,1.4473684210526316,10.605263157894736,1.2894736842105263,0.5269058295964125
Swansea,11.142857142857142,1.150375939849624,9.913533834586467,1.443609022556391,0.40452091767881243
Cardiff,11.0,0.868421052631579,9.552631578947368,1.5263157894736843,0.3014354066985646
Bournemouth,11.642105263157895,1.268421052631579,9.342105263157896,1.5789473684210527,0.337251356238698
Brighton,11.453551912568306,0.9617486338797814,11.027322404371585,1.5901639344262295,0.29770992366412213
Huddersfield,10.0,0.6578947368421053,10.736842105263158,1.618421052631579,0.3013157894736842
Brentford,10.90625,1.21875,9.90625,1.71875,0.36103151862464183
