Name,Position,Goals,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Tackles,Interceptions,Recoveries,Duels won,Duels lost
David Silva ,Midfielder,2,11,"1,386",57.75,5.0,96.0,34%,11.0,50.0,36.0,16.0,122.0,110.0,143.0
Moussa Sissoko ,Midfielder,1,7,"1,385",37.43,10.0,144.0,28%,6.0,42.0,54.0,35.0,225.0,221.0,274.0
Alexandre Song ,Midfielder,0,0,448,37.33,0.0,3.0,0%,1.0,28.0,41.0,12.0,73.0,60.0,54.0
Junior Stanislas ,Midfielder,3,2,662,31.52,5.0,96.0,16%,4.0,15.0,29.0,18.0,75.0,88.0,102.0
Kevin Stewart ,Midfielder,0,0,450,64.29,0.0,1.0,0%,0.0,20.0,19.0,15.0,39.0,43.0,27.0
Mario Suárez ,Midfielder,0,0,422,28.13,0.0,2.0,0%,1.0,36.0,21.0,18.0,68.0,45.0,54.0
Andrew Surman ,Midfielder,0,3,"2,287",60.18,0.0,9.0,22%,5.0,218.0,51.0,109.0,240.0,134.0,149.0
Alexander Tettey ,Midfielder,2,0,"1,064",46.26,0.0,2.0,0%,0.0,70.0,48.0,42.0,164.0,101.0,103.0
Florian Thauvin ,Midfielder,0,0,172,13.23,1.0,47.0,11%,2.0,3.0,8.0,7.0,30.0,36.0,46.0
Louis Thompson ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Beadling ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksandar Tonev ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yaya Touré ,Midfielder,6,5,"1,838",57.44,5.0,12.0,25%,20.0,108.0,43.0,25.0,158.0,155.0,162.0
Andros Townsend ,Midfielder,4,2,392,24.5,5.0,87.0,20%,0.0,4.0,29.0,11.0,65.0,73.0,106.0
Marco van Ginkel ,Midfielder,0,0,372,21.88,0.0,10.0,10%,0.0,17.0,28.0,22.0,34.0,55.0,53.0
Jordan Veretout ,Midfielder,0,5,991,39.64,2.0,109.0,31%,2.0,50.0,32.0,27.0,105.0,80.0,103.0
Josh Wakefield ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor Wanyama ,Midfielder,1,1,"1,352",45.07,2.0,7.0,0%,0.0,81.0,94.0,68.0,250.0,209.0,189.0
James Ward-Prowse ,Midfielder,2,4,699,21.18,6.0,93.0,27%,3.0,28.0,14.0,22.0,89.0,37.0,78.0
Ryan Watson ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Weir ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley Westwood ,Midfielder,2,2,"1,512",47.25,4.0,94.0,36%,1.0,115.0,62.0,58.0,207.0,87.0,122.0
Glenn Whelan ,Midfielder,0,1,"2,070",55.95,1.0,25.0,20%,2.0,105.0,71.0,73.0,286.0,139.0,127.0
Georginio Wijnaldum ,Midfielder,11,5,"1,252",32.95,5.0,34.0,24%,3.0,38.0,38.0,27.0,228.0,164.0,177.0
Jack Wilshere ,Midfielder,0,0,83,27.67,0.0,0.0,0%,1.0,0.0,3.0,2.0,12.0,15.0,10.0
Harry Winks ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claudio Yacob ,Midfielder,0,1,"1,092",32.12,1.0,8.0,25%,0.0,63.0,108.0,118.0,202.0,201.0,188.0
Gedion Zelalem ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Zuculini ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
