Name,Position,Goals,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Tackles,Interceptions,Recoveries,Duels won,Duels lost
Stephen Ireland ,Midfielder,0,1,160,12.31,3.0,9.0,33%,4.0,9.0,10.0,3.0,21.0,14.0,18.0
Lloyd Isgrove ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matty James ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adnan Januzaj ,Midfielder,1,0,42,8.4,0.0,2.0,0%,2.0,6.0,1.0,0.0,11.0,7.0,16.0
Matthew Jarvis ,Midfielder,1,1,268,12.18,2.0,86.0,21%,0.0,9.0,13.0,6.0,36.0,31.0,51.0
Mile Jedinak ,Midfielder,0,0,830,30.74,2.0,6.0,17%,0.0,51.0,50.0,55.0,115.0,169.0,112.0
João Teixeira ,Midfielder,0,0,3,3.0,0.0,0.0,0%,0.0,0.0,1.0,0.0,1.0,1.0,1.0
John Obi Mikel ,Midfielder,0,1,"1,243",49.72,0.0,3.0,0%,0.0,47.0,52.0,32.0,157.0,100.0,109.0
Bradley Johnson ,Midfielder,0,0,67,16.75,0.0,3.0,67%,0.0,3.0,5.0,0.0,6.0,14.0,15.0
Jon Toral ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Williams ,Midfielder,0,0,5,5.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Jordi Gómez ,Midfielder,0,0,156,26.0,0.0,8.0,38%,0.0,8.0,9.0,6.0,18.0,18.0,14.0
José Manuel Jurado ,Midfielder,0,0,956,35.41,5.0,69.0,23%,3.0,32.0,37.0,22.0,152.0,129.0,117.0
Sullay Kaikai ,Midfielder,0,0,13,13.0,1.0,6.0,17%,0.0,0.0,2.0,0.0,2.0,2.0,2.0
Glen Kamara ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N'Golo Kanté ,Midfielder,1,4,"1,449",39.16,4.0,17.0,29%,7.0,63.0,175.0,156.0,326.0,277.0,217.0
Wahbi Khazri ,Midfielder,2,1,327,23.36,3.0,88.0,30%,1.0,18.0,27.0,14.0,65.0,64.0,110.0
Ki Sung-Yueng ,Midfielder,2,1,"1,170",41.79,1.0,11.0,36%,5.0,99.0,32.0,28.0,151.0,84.0,84.0
Jan Kirchhoff ,Midfielder,0,0,553,36.87,0.0,5.0,20%,0.0,38.0,51.0,35.0,107.0,112.0,104.0
Cheikhou Kouyaté ,Midfielder,5,2,"1,234",36.29,1.0,19.0,11%,1.0,41.0,95.0,77.0,227.0,248.0,186.0
Adam Lallana ,Midfielder,4,6,989,32.97,8.0,63.0,21%,9.0,23.0,59.0,20.0,150.0,153.0,178.0
Erik Lamela ,Midfielder,5,9,985,28.97,11.0,139.0,27%,12.0,19.0,81.0,27.0,164.0,167.0,241.0
Manuel Lanzini ,Midfielder,6,2,"1,093",42.04,3.0,44.0,27%,2.0,26.0,33.0,24.0,161.0,124.0,101.0
Sebastian Larsson ,Midfielder,0,1,236,13.11,1.0,25.0,24%,1.0,10.0,12.0,10.0,40.0,28.0,36.0
Eddy Lecygne ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Ledley ,Midfielder,1,0,399,21.0,0.0,5.0,0%,0.0,14.0,16.0,33.0,55.0,34.0,42.0
Lee Chung-Yong ,Midfielder,1,0,177,13.62,1.0,18.0,33%,0.0,9.0,15.0,6.0,24.0,34.0,32.0
Jonathan Leko ,Midfielder,0,1,49,9.8,1.0,2.0,0%,0.0,0.0,9.0,4.0,22.0,24.0,34.0
Aaron Lennon ,Midfielder,5,0,477,19.08,1.0,34.0,21%,0.0,13.0,35.0,8.0,55.0,83.0,63.0
Jeremain Lens ,Midfielder,3,3,385,19.25,4.0,80.0,18%,6.0,14.0,36.0,3.0,82.0,109.0,144.0
Jesse Lingard ,Midfielder,4,1,712,28.48,2.0,22.0,9%,4.0,10.0,38.0,15.0,92.0,82.0,124.0
Ruben Loftus-Cheek ,Midfielder,1,0,243,18.69,0.0,1.0,0%,1.0,8.0,11.0,5.0,24.0,41.0,39.0
Lucas Leiva ,Midfielder,0,1,"1,485",55.0,3.0,8.0,13%,5.0,84.0,108.0,52.0,167.0,200.0,147.0
Luis Alberto ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Lyden ,Midfielder,0,0,67,16.75,0.0,1.0,0%,0.0,2.0,2.0,4.0,9.0,4.0,8.0
Yann M'Vila ,Midfielder,1,4,"1,679",45.38,5.0,83.0,22%,9.0,104.0,99.0,86.0,287.0,200.0,125.0
Ainsley Maitland-Niles ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manu García ,Midfielder,0,0,18,18.0,0.0,0.0,0%,0.0,1.0,0.0,1.0,0.0,0.0,2.0
Marko Marin ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sylvain Marveaux ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Mata ,Midfielder,6,5,"1,803",47.45,7.0,98.0,18%,7.0,98.0,30.0,23.0,185.0,93.0,150.0
Nemanja Matic ,Midfielder,2,2,"1,607",48.7,2.0,20.0,15%,2.0,74.0,84.0,67.0,228.0,176.0,164.0
James McArthur ,Midfielder,2,2,"1,058",37.79,1.0,8.0,13%,1.0,66.0,55.0,66.0,167.0,117.0,166.0
James McClean ,Midfielder,2,2,598,17.09,3.0,208.0,23%,2.0,23.0,70.0,32.0,122.0,203.0,217.0
Aiden McGeady ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conor McGrandles ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Callum McManaman ,Midfielder,0,1,77,6.42,0.0,15.0,27%,0.0,0.0,6.0,2.0,11.0,31.0,17.0
Patrick McNair ,Midfielder,0,0,194,24.25,0.0,6.0,17%,0.0,14.0,9.0,5.0,27.0,19.0,36.0
James Milner ,Midfielder,5,11,"1,377",49.18,6.0,185.0,32%,12.0,71.0,68.0,37.0,163.0,148.0,215.0
Kevin Mirallas ,Midfielder,4,2,329,14.3,3.0,45.0,,,,14.0,9.0,,,
Moha ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Elneny ,Midfielder,0,1,738,67.09,1.0,11.0,9%,0.0,19.0,10.0,16.0,61.0,30.0,35.0
Jefferson Montero ,Midfielder,0,2,365,15.87,4.0,111.0,19%,0.0,4.0,21.0,9.0,70.0,111.0,121.0
James Morrison ,Midfielder,3,3,593,32.94,1.0,15.0,13%,3.0,34.0,26.0,43.0,106.0,66.0,69.0
Victor Moses ,Midfielder,1,2,280,13.33,2.0,35.0,23%,1.0,6.0,13.0,10.0,54.0,71.0,83.0
Youssouf Mulumbu ,Midfielder,0,0,157,22.43,0.0,2.0,0%,0.0,8.0,21.0,6.0,27.0,33.0,25.0
Jacob Murphy ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charly Musonda ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordon Mutch ,Midfielder,0,0,307,15.35,0.0,42.0,17%,1.0,12.0,18.0,15.0,47.0,49.0,56.0
Charles N'Zogbia ,Midfielder,0,0,9,4.5,0.0,4.0,0%,0.0,0.0,1.0,0.0,1.0,2.0,2.0
Samir Nasri ,Midfielder,2,2,416,34.67,1.0,17.0,41%,5.0,12.0,11.0,2.0,29.0,22.0,35.0
Mark Noble ,Midfielder,7,4,"1,923",51.97,3.0,29.0,24%,2.0,152.0,103.0,83.0,236.0,202.0,171.0
Kevin Nolan ,Midfielder,0,0,15,7.5,0.0,0.0,0%,0.0,0.0,1.0,0.0,5.0,2.0,3.0
Olivier Ntcham ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eunan O'Kane ,Midfielder,0,1,379,23.69,0.0,1.0,0%,4.0,31.0,9.0,8.0,29.0,28.0,37.0
Gary O'Neil ,Midfielder,0,0,943,34.93,1.0,44.0,18%,0.0,90.0,41.0,36.0,140.0,91.0,122.0
Gabriel Obertan ,Midfielder,0,1,97,19.4,0.0,10.0,20%,0.0,2.0,6.0,4.0,19.0,13.0,22.0
Pedro Obiang ,Midfielder,0,1,476,19.83,1.0,4.0,25%,1.0,27.0,42.0,36.0,80.0,95.0,76.0
Vadis Odjidja-Ofoe ,Midfielder,0,2,135,13.5,0.0,12.0,17%,0.0,3.0,9.0,3.0,19.0,22.0,33.0
Sheyi Ojo ,Midfielder,0,3,140,17.5,2.0,19.0,21%,0.0,3.0,9.0,2.0,26.0,32.0,31.0
Andre Olukanmi ,Midfielder,0,0,0,0.0,0.0,0.0,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
